omics,outcome,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
prs,cad,-3.850298044,-3.76771426,-3.685130475,-3.602546691,-3.519962907,-3.437379123,-3.354795339,-3.272211555,-3.189627771,-3.107043986,-3.024460202,-2.941876418,-2.859292634,-2.77670885,-2.694125066,-2.611541282,-2.528957497,-2.446373713,-2.363789929,-2.281206145,-2.198622361,-2.116038577,-2.033454793,-1.950871008,-1.868287224,-1.78570344,-1.703119656,-1.620535872,-1.537952088,-1.455368304,-1.372784519,-1.290200735,-1.207616951,-1.125033167,-1.042449383,-0.959865599,-0.877281815,-0.79469803,-0.712114246,-0.629530462,-0.546946678,-0.464362894,-0.38177911,-0.299195326,-0.216611541,-0.134027757,-0.051443973,0.031139811,0.113723595,0.196307379,0.278891163,0.361474947,0.444058732,0.526642516,0.6092263,0.691810084,0.774393868,0.856977652,0.939561436,1.022145221,1.104729005,1.187312789,1.269896573,1.352480357,1.435064141,1.517647925,1.60023171,1.682815494,1.765399278,1.847983062,1.930566846,2.01315063,2.095734414,2.178318199,2.260901983,2.343485767,2.426069551,2.508653335,2.591237119,2.673820903,2.756404688,2.838988472,2.921572256,3.00415604,3.086739824,3.169323608,3.251907392,3.334491177,3.417074961,3.499658745,3.582242529,3.664826313,3.747410097,3.829993881,3.912577666,3.99516145,4.077745234,4.160329018,4.242912802,4.325496586
prs,stroke,-3.564642373,-3.491842028,-3.419041684,-3.346241339,-3.273440995,-3.20064065,-3.127840306,-3.055039961,-2.982239617,-2.909439272,-2.836638927,-2.763838583,-2.691038238,-2.618237894,-2.545437549,-2.472637205,-2.39983686,-2.327036516,-2.254236171,-2.181435826,-2.108635482,-2.035835137,-1.963034793,-1.890234448,-1.817434104,-1.744633759,-1.671833415,-1.59903307,-1.526232725,-1.453432381,-1.380632036,-1.307831692,-1.235031347,-1.162231003,-1.089430658,-1.016630314,-0.943829969,-0.871029624,-0.79822928,-0.725428935,-0.652628591,-0.579828246,-0.507027902,-0.434227557,-0.361427213,-0.288626868,-0.215826523,-0.143026179,-0.070225834,0.00257451,0.075374855,0.148175199,0.220975544,0.293775888,0.366576233,0.439376578,0.512176922,0.584977267,0.657777611,0.730577956,0.8033783,0.876178645,0.948978989,1.021779334,1.094579678,1.167380023,1.240180368,1.312980712,1.385781057,1.458581401,1.531381746,1.60418209,1.676982435,1.749782779,1.822583124,1.895383469,1.968183813,2.040984158,2.113784502,2.186584847,2.259385191,2.332185536,2.40498588,2.477786225,2.55058657,2.623386914,2.696187259,2.768987603,2.841787948,2.914588292,2.987388637,3.060188981,3.132989326,3.205789671,3.278590015,3.35139036,3.424190704,3.496991049,3.569791393,3.642591738
prs,hf,-3.740060186,-3.655570232,-3.571080278,-3.486590324,-3.40210037,-3.317610417,-3.233120463,-3.148630509,-3.064140555,-2.979650601,-2.895160648,-2.810670694,-2.72618074,-2.641690786,-2.557200832,-2.472710879,-2.388220925,-2.303730971,-2.219241017,-2.134751063,-2.05026111,-1.965771156,-1.881281202,-1.796791248,-1.712301294,-1.627811341,-1.543321387,-1.458831433,-1.374341479,-1.289851525,-1.205361571,-1.120871618,-1.036381664,-0.95189171,-0.867401756,-0.782911802,-0.698421849,-0.613931895,-0.529441941,-0.444951987,-0.360462033,-0.27597208,-0.191482126,-0.106992172,-0.022502218,0.061987736,0.146477689,0.230967643,0.315457597,0.399947551,0.484437505,0.568927458,0.653417412,0.737907366,0.82239732,0.906887274,0.991377227,1.075867181,1.160357135,1.244847089,1.329337043,1.413826997,1.49831695,1.582806904,1.667296858,1.751786812,1.836276766,1.920766719,2.005256673,2.089746627,2.174236581,2.258726535,2.343216488,2.427706442,2.512196396,2.59668635,2.681176304,2.765666257,2.850156211,2.934646165,3.019136119,3.103626073,3.188116026,3.27260598,3.357095934,3.441585888,3.526075842,3.610565795,3.695055749,3.779545703,3.864035657,3.948525611,4.033015564,4.117505518,4.201995472,4.286485426,4.37097538,4.455465334,4.539955287,4.624445241
prs,af,-4.000919195,-3.917444336,-3.833969478,-3.75049462,-3.667019761,-3.583544903,-3.500070045,-3.416595186,-3.333120328,-3.249645469,-3.166170611,-3.082695753,-2.999220894,-2.915746036,-2.832271178,-2.748796319,-2.665321461,-2.581846603,-2.498371744,-2.414896886,-2.331422028,-2.247947169,-2.164472311,-2.080997453,-1.997522594,-1.914047736,-1.830572877,-1.747098019,-1.663623161,-1.580148302,-1.496673444,-1.413198586,-1.329723727,-1.246248869,-1.162774011,-1.079299152,-0.995824294,-0.912349436,-0.828874577,-0.745399719,-0.661924861,-0.578450002,-0.494975144,-0.411500285,-0.328025427,-0.244550569,-0.16107571,-0.077600852,0.005874006,0.089348865,0.172823723,0.256298581,0.33977344,0.423248298,0.506723156,0.590198015,0.673672873,0.757147731,0.84062259,0.924097448,1.007572307,1.091047165,1.174522023,1.257996882,1.34147174,1.424946598,1.508421457,1.591896315,1.675371173,1.758846032,1.84232089,1.925795748,2.009270607,2.092745465,2.176220323,2.259695182,2.34317004,2.426644899,2.510119757,2.593594615,2.677069474,2.760544332,2.84401919,2.927494049,3.010968907,3.094443765,3.177918624,3.261393482,3.34486834,3.428343199,3.511818057,3.595292915,3.678767774,3.762242632,3.845717491,3.929192349,4.012667207,4.096142066,4.179616924,4.263091782
prs,va,-3.195248094,-3.122382449,-3.049516805,-2.97665116,-2.903785516,-2.830919872,-2.758054227,-2.685188583,-2.612322939,-2.539457294,-2.46659165,-2.393726005,-2.320860361,-2.247994717,-2.175129072,-2.102263428,-2.029397784,-1.956532139,-1.883666495,-1.810800851,-1.737935206,-1.665069562,-1.592203917,-1.519338273,-1.446472629,-1.373606984,-1.30074134,-1.227875696,-1.155010051,-1.082144407,-1.009278763,-0.936413118,-0.863547474,-0.790681829,-0.717816185,-0.644950541,-0.572084896,-0.499219252,-0.426353608,-0.353487963,-0.280622319,-0.207756674,-0.13489103,-0.062025386,0.010840259,0.083705903,0.156571547,0.229437192,0.302302836,0.37516848,0.448034125,0.520899769,0.593765414,0.666631058,0.739496702,0.812362347,0.885227991,0.958093635,1.03095928,1.103824924,1.176690568,1.249556213,1.322421857,1.395287502,1.468153146,1.54101879,1.613884435,1.686750079,1.759615723,1.832481368,1.905347012,1.978212657,2.051078301,2.123943945,2.19680959,2.269675234,2.342540878,2.415406523,2.488272167,2.561137811,2.634003456,2.7068691,2.779734745,2.852600389,2.925466033,2.998331678,3.071197322,3.144062966,3.216928611,3.289794255,3.3626599,3.435525544,3.508391188,3.581256833,3.654122477,3.726988121,3.799853766,3.87271941,3.945585054,4.018450699
prs,pad,-3.808644834,-3.725622019,-3.642599204,-3.559576389,-3.476553574,-3.393530759,-3.310507943,-3.227485128,-3.144462313,-3.061439498,-2.978416683,-2.895393868,-2.812371053,-2.729348238,-2.646325423,-2.563302607,-2.480279792,-2.397256977,-2.314234162,-2.231211347,-2.148188532,-2.065165717,-1.982142902,-1.899120087,-1.816097271,-1.733074456,-1.650051641,-1.567028826,-1.484006011,-1.400983196,-1.317960381,-1.234937566,-1.151914751,-1.068891935,-0.98586912,-0.902846305,-0.81982349,-0.736800675,-0.65377786,-0.570755045,-0.48773223,-0.404709415,-0.321686599,-0.238663784,-0.155640969,-0.072618154,0.010404661,0.093427476,0.176450291,0.259473106,0.342495922,0.425518737,0.508541552,0.591564367,0.674587182,0.757609997,0.840632812,0.923655627,1.006678442,1.089701258,1.172724073,1.255746888,1.338769703,1.421792518,1.504815333,1.587838148,1.670860963,1.753883778,1.836906594,1.919929409,2.002952224,2.085975039,2.168997854,2.252020669,2.335043484,2.418066299,2.501089114,2.58411193,2.667134745,2.75015756,2.833180375,2.91620319,2.999226005,3.08224882,3.165271635,3.24829445,3.331317266,3.414340081,3.497362896,3.580385711,3.663408526,3.746431341,3.829454156,3.912476971,3.995499786,4.078522602,4.161545417,4.244568232,4.327591047,4.410613862
prs,aaa,-3.53940159,-3.459204192,-3.379006795,-3.298809397,-3.218612,-3.138414602,-3.058217204,-2.978019807,-2.897822409,-2.817625012,-2.737427614,-2.657230217,-2.577032819,-2.496835422,-2.416638024,-2.336440627,-2.256243229,-2.176045831,-2.095848434,-2.015651036,-1.935453639,-1.855256241,-1.775058844,-1.694861446,-1.614664049,-1.534466651,-1.454269254,-1.374071856,-1.293874458,-1.213677061,-1.133479663,-1.053282266,-0.973084868,-0.892887471,-0.812690073,-0.732492676,-0.652295278,-0.572097881,-0.491900483,-0.411703085,-0.331505688,-0.25130829,-0.171110893,-0.090913495,-0.010716098,0.0694813,0.149678697,0.229876095,0.310073492,0.39027089,0.470468288,0.550665685,0.630863083,0.71106048,0.791257878,0.871455275,0.951652673,1.03185007,1.112047468,1.192244865,1.272442263,1.352639661,1.432837058,1.513034456,1.593231853,1.673429251,1.753626648,1.833824046,1.914021443,1.994218841,2.074416238,2.154613636,2.234811034,2.315008431,2.395205829,2.475403226,2.555600624,2.635798021,2.715995419,2.796192816,2.876390214,2.956587611,3.036785009,3.116982407,3.197179804,3.277377202,3.357574599,3.437771997,3.517969394,3.598166792,3.678364189,3.758561587,3.838758984,3.918956382,3.99915378,4.079351177,4.159548575,4.239745972,4.31994337,4.400140767
prs,vt,-3.854540037,-3.761033756,-3.667527474,-3.574021193,-3.480514912,-3.38700863,-3.293502349,-3.199996067,-3.106489786,-3.012983505,-2.919477223,-2.825970942,-2.732464661,-2.638958379,-2.545452098,-2.451945817,-2.358439535,-2.264933254,-2.171426973,-2.077920691,-1.98441441,-1.890908129,-1.797401847,-1.703895566,-1.610389285,-1.516883003,-1.423376722,-1.329870441,-1.236364159,-1.142857878,-1.049351597,-0.955845315,-0.862339034,-0.768832753,-0.675326471,-0.58182019,-0.488313909,-0.394807627,-0.301301346,-0.207795065,-0.114288783,-0.020782502,0.07272378,0.166230061,0.259736342,0.353242624,0.446748905,0.540255186,0.633761468,0.727267749,0.82077403,0.914280312,1.007786593,1.101292874,1.194799156,1.288305437,1.381811718,1.475318,1.568824281,1.662330562,1.755836844,1.849343125,1.942849406,2.036355688,2.129861969,2.22336825,2.316874532,2.410380813,2.503887094,2.597393376,2.690899657,2.784405938,2.87791222,2.971418501,3.064924782,3.158431064,3.251937345,3.345443626,3.438949908,3.532456189,3.625962471,3.719468752,3.812975033,3.906481315,3.999987596,4.093493877,4.187000159,4.28050644,4.374012721,4.467519003,4.561025284,4.654531565,4.748037847,4.841544128,4.935050409,5.028556691,5.122062972,5.215569253,5.309075535,5.402581816
prs,cvd_death,-3.850298044,-3.76771426,-3.685130475,-3.602546691,-3.519962907,-3.437379123,-3.354795339,-3.272211555,-3.189627771,-3.107043986,-3.024460202,-2.941876418,-2.859292634,-2.77670885,-2.694125066,-2.611541282,-2.528957497,-2.446373713,-2.363789929,-2.281206145,-2.198622361,-2.116038577,-2.033454793,-1.950871008,-1.868287224,-1.78570344,-1.703119656,-1.620535872,-1.537952088,-1.455368304,-1.372784519,-1.290200735,-1.207616951,-1.125033167,-1.042449383,-0.959865599,-0.877281815,-0.79469803,-0.712114246,-0.629530462,-0.546946678,-0.464362894,-0.38177911,-0.299195326,-0.216611541,-0.134027757,-0.051443973,0.031139811,0.113723595,0.196307379,0.278891163,0.361474947,0.444058732,0.526642516,0.6092263,0.691810084,0.774393868,0.856977652,0.939561436,1.022145221,1.104729005,1.187312789,1.269896573,1.352480357,1.435064141,1.517647925,1.60023171,1.682815494,1.765399278,1.847983062,1.930566846,2.01315063,2.095734414,2.178318199,2.260901983,2.343485767,2.426069551,2.508653335,2.591237119,2.673820903,2.756404688,2.838988472,2.921572256,3.00415604,3.086739824,3.169323608,3.251907392,3.334491177,3.417074961,3.499658745,3.582242529,3.664826313,3.747410097,3.829993881,3.912577666,3.99516145,4.077745234,4.160329018,4.242912802,4.325496586
metscore,cad,-7.260664091,-7.144431685,-7.028199278,-6.911966872,-6.795734465,-6.679502059,-6.563269652,-6.447037246,-6.330804839,-6.214572433,-6.098340026,-5.98210762,-5.865875213,-5.749642807,-5.6334104,-5.517177994,-5.400945587,-5.284713181,-5.168480774,-5.052248368,-4.936015961,-4.819783555,-4.703551148,-4.587318741,-4.471086335,-4.354853928,-4.238621522,-4.122389115,-4.006156709,-3.889924302,-3.773691896,-3.657459489,-3.541227083,-3.424994676,-3.30876227,-3.192529863,-3.076297457,-2.96006505,-2.843832644,-2.727600237,-2.611367831,-2.495135424,-2.378903018,-2.262670611,-2.146438205,-2.030205798,-1.913973392,-1.797740985,-1.681508579,-1.565276172,-1.449043766,-1.332811359,-1.216578953,-1.100346546,-0.98411414,-0.867881733,-0.751649326,-0.63541692,-0.519184513,-0.402952107,-0.2867197,-0.170487294,-0.054254887,0.061977519,0.178209926,0.294442332,0.410674739,0.526907145,0.643139552,0.759371958,0.875604365,0.991836771,1.108069178,1.224301584,1.340533991,1.456766397,1.572998804,1.68923121,1.805463617,1.921696023,2.03792843,2.154160836,2.270393243,2.386625649,2.502858056,2.619090462,2.735322869,2.851555275,2.967787682,3.084020088,3.200252495,3.316484902,3.432717308,3.548949715,3.665182121,3.781414528,3.897646934,4.013879341,4.130111747,4.246344154
